keys,ja
ui_title_label,ポモドーロヒーローズ
ui_title_start_new,はじめから
ui_title_start_continue,つづきから
ui_title_delete_save,セーブを消す
ui_title_load_failed,セーブを読み込めませんでした。新しく始めます。
ui_title_delete_done,セーブを削除しました。
ui_title_delete_failed,セーブの削除に失敗しました。
ui_base_placeholder,拠点画面（仮）
ui_base_save,セーブする
ui_base_back_to_title,タイトルへ戻る
ui_common_ok,決定
ui_common_cancel,キャンセル
ui_common_close,閉じる
ui_common_back,戻る
ui_common_yes,はい
ui_common_no,いいえ
ui_res_gold,ゴールド
ui_res_gems,ジェム
ui_res_stamina,スタミナ
ui_res_construction_material_1,木材
ui_nav_adventure_select,冒険
ui_nav_guild,ギルド
ui_nav_pomodoro,ポモドーロ
ui_nav_settings,設定
ui_nav_scenario,シナリオ
ui_placeholder_suffix,（未実装）
ui_base_chest,宝箱
ui_res_material_unknown,不明な素材
ui_pomodoro_protection_select,今日の加護を選ぶ
ui_pomodoro_protection_light,ライト
ui_pomodoro_protection_middle,ミドル
ui_pomodoro_protection_hard,ハード
ui_pomodoro_protection_hint,しきい値は今日の合計作業時間です。何回かに分けても大丈夫です。
ui_pomodoro_chest_at,{0}分で{1}
ui_chest_generic,ふつうの宝箱
ui_chest_bonus_small,ボーナス宝箱（小）
ui_chest_bonus_medium,ボーナス宝箱（中）
ui_chest_bonus_large,ボーナス宝箱（大）
ui_chest_battle,戦利品の宝箱
ui_chest_common,ふるびた宝箱
ui_chest_rare,かがやく宝箱
ui_chest_epic,ほうぎょくの宝箱
ui_chest_legendary,でんせつの宝箱
ui_pomodoro_title_placeholder,何に取り組みますか？（任意）
ui_pomodoro_title_hint,ここに入れた文字はフレンドに表示されます
ui_pomodoro_start,はじめる
ui_pomodoro_focus,集中中
ui_pomodoro_reflection_prompt,今回やったことを振り返ってください
ui_pomodoro_reflection_placeholder,20文字以上で入力してください
ui_pomodoro_confirm,確定する
ui_pomodoro_break_short,休憩
ui_pomodoro_break_long,長い休憩
ui_pomodoro_skip_break,休憩をスキップ
ui_pomodoro_chest_earned,宝箱を獲得しました（拠点で受け取れます）
ui_pomodoro_quit,やめる
ui_pomodoro_quit_confirm,ここまでの報酬を受け取って拠点に戻ります。よろしいですか？
ui_pomodoro_set_progress,{0} / {1} セット目
ui_common_quit,中断
ui_pomodoro_select_protection,今日の加護を選ぶ
ui_pomodoro_input_title,何に取り組みますか？（任意）
ui_pomodoro_start_focus,はじめる
ui_pomodoro_reflection_title,振り返り
ui_pomodoro_reflection_instruction,今回やったことを20文字以上で書いてください
